Country,Lat,Long,Cases,Mag
Pakistan,30.375321,69.345116,275225,9.174166667
Panama,8.537981,-80.782127,61442,2.048066667
Papua New Guinea,-6.314993,143.95555,63,0.0021
Paraguay,-23.442503,-58.443832,4548,0.1516
Peru,-9.189967,-75.015152,387717,12.9239
Philippines,12.879721,121.774017,83673,2.7891
Poland,51.919438,19.145136,43904,1.463466667
Portugal,39.399872,-8.224454,50410,1.680333333
Qatar,25.354826,51.183884,109597,3.653233333
Romania,45.943161,24.96676,47053,1.568433333
Rwanda,-1.940278,29.873888,1879,0.06263333333
St Kitts & Nevis,17.357822,-62.782998,17,0.0005666666667
St Lucia,13.909444,-60.978893,24,0.0008
Saint Vincent & the Grenadines,12.984305,-61.287228,52,0.001733333333
San Marino,43.94236,12.457777,699,0.0233
Sao Tome & Principe,0.18636,6.613081,865,0.02883333333
Saudi Arabia,23.885942,45.079162,270831,9.0277
Senegal,14.497401,-14.452362,9805,0.3268333333
Serbia,44.016521,21.005859,24520,0.8173333333
Seychelles,-4.679574,55.491977,114,0.0038
Sierra Leone,8.460555,-11.779889,1783,0.05943333333
Singapore,1.352083,103.819836,51197,1.706566667
Slovakia,48.669026,19.699024,2204,0.07346666667
Slovenia,46.151241,14.995463,2101,0.07003333333
Somalia,5.152149,46.199616,3196,0.1065333333
South Africa,-30.559482,22.937506,452529,15.0843
Spain,40.463667,-3.74922,278782,9.292733333
Sri Lanka,7.873054,80.771797,2807,0.09356666667
Sudan,12.862807,30.217636,11496,0.3832
Suriname,3.919305,-56.027783,1483,0.04943333333
Sweden,60.128161,18.643501,79494,2.6498
Switzerland,46.818188,8.227512,34609,1.153633333
Syria,34.802075,38.996815,674,0.02246666667
Taiwan,23.69781,120.960515,467,0.01556666667
Tajikistan,38.861034,71.276093,7276,0.2425333333
Tanzania,-6.369028,34.888822,509,0.01696666667
Thailand,15.870032,100.992541,3297,0.1099
Togo,8.619543,0.824782,874,0.02913333333
Trinidad & Tobago,10.691803,-61.222503,148,0.004933333333
Tunisia,33.886917,9.537499,1445,0.04816666667
Turkey,38.963745,35.243322,227019,7.5673
Uganda,1.373333,32.290275,1135,0.03783333333
Ukraine,48.379433,31.16558,68030,2.267666667
United Arab Emirates,23.4241,53.8478,59546,1.984866667
United Kingdom,55.378051,-3.435973,300692,10.02306667
United States,37.09024,-95.712891,4309230,143.641
Uruguay,-32.522779,-55.765835,1202,0.04006666667
Uzbekistan,41.377491,64.585262,21699,0.7233
Vatican City,41.902916,12.453389,12,0.0004
Venezuela,6.42375,-66.58973,15988,0.5329333333
Vietnam,14.058324,108.277199,438,0.0146
Yemen,15.552727,48.516388,1691,0.05636666667
Zambia,-13.133897,27.849332,5002,0.1667333333
Zimbabwe,-19.015438,29.154857,2704,0.09013333333
